org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
알고리즘,14,3,11,6,2,4,4,10,7,0,4,8,0,2
알팔리,1,0,0,0,0,1,2,0,2,0,1,1,1,0
앞두고,1,0,0,0,1,0,1,0,2,1,1,0,1,1
애니매이션,0,0,7,0,4,3,3,5,0,15,4,8,3,5
애니메이션,1,0,5,0,2,1,2,4,1,7,2,4,3,6
애플,4,2,11,8,5,1,3,9,1,2,9,8,1,19
액면,0,1,0,0,2,0,1,0,0,1,1,3,1,0
액면가,0,1,0,0,2,0,1,0,0,1,1,3,1,0
액션,1,0,5,0,2,1,2,4,1,7,2,4,3,6
앱스토어,0,0,0,0,0,0,0,1,0,0,1,0,0,5
야외에서도,0,3,2,2,0,0,3,3,0,0,3,2,1,2
약세,1,0,0,2,1,0,0,1,0,0,1,1,0,0
양로원,0,2,0,0,0,0,0,0,0,0,0,4,0,0
양자,2,0,2,0,2,0,1,2,1,0,2,1,1,0
어르신들,0,2,0,0,0,0,0,0,0,0,0,4,0,0
어린,0,0,0,1,0,0,0,0,0,0,1,1,0,0
업계,6,2,15,7,10,1,8,11,5,4,6,9,2,3
업계에서,3,0,4,3,1,0,1,3,0,0,1,3,2,0
업무협약,2,1,3,1,0,0,1,3,3,0,4,1,1,0
업비트,2,1,2,2,1,0,1,2,2,0,1,2,2,1
업체,0,3,2,2,2,0,3,3,0,1,1,3,2,2
에서,2,0,0,2,1,0,0,0,0,0,2,2,1,1
에스엠벡셀,2,1,3,3,1,2,3,3,3,1,3,3,2,1
에어컨,1,0,0,3,0,0,2,0,3,0,1,1,1,0
에어팟,0,0,0,2,1,0,0,0,0,0,2,1,0,2
에이스침대,1,1,1,1,0,1,0,1,0,0,3,2,2,1
엔씨,0,0,3,0,2,1,1,2,0,5,2,2,1,2
엔씨소프트,0,1,24,1,13,10,9,17,0,45,13,25,8,17
엔터테인먼트,1,1,1,0,0,2,0,1,0,0,3,4,3,2
엠게임,0,0,0,0,0,0,0,2,0,0,2,0,0,10
엣지파운드리,4,2,6,4,4,3,4,7,5,1,6,6,3,1
여건,0,2,2,0,0,0,0,1,0,0,1,1,4,0
여부,0,0,0,1,0,0,0,0,1,0,1,3,1,0
역량,2,1,3,1,1,1,1,5,1,0,2,0,1,1
역할,1,0,0,0,1,0,1,0,1,1,1,2,0,1
연간,1,1,1,4,2,0,1,2,1,0,1,4,1,2
연구,6,3,12,2,5,4,8,7,2,2,6,6,1,0
연구장비,2,0,2,0,2,0,1,2,1,0,2,1,1,0
연비,0,1,1,0,0,2,0,1,0,0,1,5,1,2
연출,1,0,2,0,1,0,1,2,1,2,1,1,2,4
연휴,2,0,0,1,1,0,1,0,4,1,2,1,3,1
연휴기간,1,0,0,1,0,0,0,0,2,0,1,1,2,0
열린,0,1,0,2,2,0,0,1,0,0,1,1,0,0
영감,0,0,0,0,0,0,0,0,0,0,2,0,0,0
영상,0,0,0,1,0,0,0,0,0,0,1,1,0,0
영업이익,1,1,5,1,2,2,1,2,0,2,2,4,0,2
예미지,0,0,0,1,0,0,0,0,0,0,1,0,3,0
예비,1,0,0,1,0,0,0,0,0,0,1,0,0,1
예술,1,0,0,0,1,0,1,0,1,1,1,2,0,1
오는,0,2,2,0,0,0,0,1,0,0,1,1,4,0
오브,0,0,0,0,0,0,0,0,0,0,2,0,0,0
오토모티브,0,2,1,1,0,3,0,1,0,0,2,3,3,1
오픈,0,0,0,1,0,0,0,0,0,0,1,0,3,0
오피스,0,0,2,0,0,0,0,0,0,0,2,0,0,0
온도,1,1,1,1,0,1,0,1,0,0,3,2,2,1
온열매트,1,1,1,1,0,1,0,1,0,0,3,2,2,1
올해,3,4,7,5,4,4,2,7,2,0,6,5,2,0
완주,0,0,0,1,0,0,0,0,1,0,1,3,1,0
외국인,1,0,0,2,1,0,0,1,0,0,1,1,0,0
외상과염,0,0,0,0,0,0,0,0,1,0,2,2,1,0
요금관리시스템,0,1,0,0,0,0,0,0,1,0,1,0,0,0
용인,0,1,0,2,2,0,0,1,0,0,1,1,0,0
용인시청에서,0,1,0,2,2,0,0,1,0,0,1,1,0,0
용인특례시장,0,1,0,2,2,0,0,1,0,0,1,1,0,0
우리,0,0,1,2,0,1,1,1,1,0,1,4,1,0
우리은행,0,0,2,0,0,0,0,0,0,0,2,0,0,0
우선주,0,0,2,0,0,0,0,0,0,0,2,0,0,0
운동,0,0,0,0,0,0,0,0,1,0,2,2,1,0
운영,1,0,1,1,1,0,0,1,2,0,0,0,0,0
운영한다.,1,0,0,1,0,0,0,0,2,0,1,1,2,0
운용성,0,0,0,2,1,0,0,0,0,0,2,1,0,2
원화,2,1,2,2,1,0,1,2,2,0,1,2,2,1
웨어러블,1,6,4,3,4,0,7,6,1,2,2,5,4,3
웨이브,4,2,5,3,3,4,4,3,4,5,3,5,1,2
위상,1,0,5,0,2,1,1,2,0,1,1,0,0,0
위안,3,0,4,7,15,1,3,7,0,3,3,1,0,0
위한,4,3,7,4,2,1,3,5,6,1,7,4,2,0
위해,1,2,3,11,3,5,1,6,4,1,6,12,3,1
윈드쉴드,1,0,3,1,1,1,0,2,1,0,1,0,0,0
유동성,1,0,1,1,1,0,0,1,2,0,0,0,0,0
유럽,0,0,0,2,1,0,0,0,0,0,2,1,0,2
유비리서치,0,9,6,6,2,0,10,9,1,1,7,7,4,6
유비리서치에,0,6,4,4,0,0,7,6,1,0,6,4,2,4
유상증자,0,1,0,0,2,0,1,0,0,1,1,3,1,0
유저,0,0,0,0,0,0,0,1,0,0,1,0,0,5
유저들에게,0,0,0,0,0,0,0,2,0,0,2,0,0,10
유증,0,1,0,0,2,0,1,0,0,1,1,3,1,0
윤수영,2,1,10,0,4,3,4,4,0,2,3,3,0,0
윤승재,2,1,2,2,1,0,1,2,2,0,1,2,2,1
윤호중,0,0,0,1,0,0,0,0,1,0,1,3,1,0
은탑산업훈장,1,0,5,0,2,1,1,2,0,1,1,0,0,0
음성,0,0,1,0,0,1,0,1,0,0,2,0,0,0
음식,1,0,0,0,1,0,1,0,2,1,1,0,1,1
응용,2,1,2,3,4,2,1,4,1,0,3,3,2,0
의료진,0,1,0,3,1,0,0,1,1,0,3,5,2,0
이끈,1,0,5,0,2,1,1,2,0,1,1,0,0,0
이뉴스투데,0,0,0,2,1,0,0,0,0,0,2,1,0,2
이동,1,1,1,0,0,2,0,1,0,0,3,4,3,2
이들,0,0,0,0,0,0,0,1,0,0,0,0,1,1
이머징,0,2,1,1,0,3,0,1,0,0,2,3,3,1
이메일,0,0,0,0,0,0,0,1,0,0,5,1,1,0
이명희,3,2,5,4,3,3,3,4,2,1,4,5,4,2
이미,2,1,3,3,3,0,2,3,2,1,1,2,0,0
이번,8,8,16,7,4,8,9,12,8,6,17,13,10,15
이사장,1,0,0,1,1,0,0,0,0,0,1,2,1,0
이상일,0,1,0,2,2,0,0,1,0,0,1,1,0,0
