org,topic,base_score,topic_share,company_focus,hybrid_score
메타,5,56.0644,0.0841,0.6074,56.0644
메타,1,45.7477,0.0290,0.4956,45.7477
메타,4,35.0655,0.0340,0.3799,35.0655
메타,7,32.2603,0.0284,0.3495,32.2603
메타,6,23.7024,0.0257,0.2568,23.7024
메타,2,19.8709,0.0168,0.2153,19.8709
메타,3,7.4533,0.0168,0.0807,7.4533
메타,0,1.4110,0.0323,0.0153,1.4110
미디어텍,6,8.6190,0.0094,0.6773,8.6190
미디어텍,1,5.5452,0.0035,0.4358,5.5452
미디어텍,4,4.2079,0.0041,0.3307,4.2079
미디어텍,7,4.2079,0.0037,0.3307,4.2079
미디어텍,3,2.9813,0.0067,0.2343,2.9813
미디어텍,5,2.8387,0.0043,0.2231,2.8387
미디어텍,2,2.1290,0.0018,0.1673,2.1290
벤츠,6,11.4920,0.0125,0.9212,11.4920
벤츠,7,3.5066,0.0031,0.2811,3.5066
벤츠,4,2.1039,0.0020,0.1686,2.1039
벤츠,1,2.0794,0.0013,0.1667,2.0794
벤츠,5,1.4194,0.0021,0.1138,1.4194
벤츠,2,0.7097,0.0006,0.0569,0.7097
비보,2,32.6451,0.0277,0.8317,32.6451
비보,1,14.5561,0.0092,0.3708,14.5561
비보,7,10.5197,0.0092,0.2680,10.5197
비보,4,9.8183,0.0095,0.2501,9.8183
비보,6,6.4643,0.0070,0.1647,6.4643
비보,3,3.7267,0.0084,0.0949,3.7267
비보,5,0.7097,0.0011,0.0181,0.7097
삼성디스플레이,1,111.5967,0.0708,0.5556,111.5967
삼성디스플레이,4,100.2874,0.0971,0.4993,100.2874
삼성디스플레이,2,86.5805,0.0734,0.4311,86.5805
삼성디스플레이,7,77.1442,0.0678,0.3841,77.1442
삼성디스플레이,6,43.0952,0.0468,0.2146,43.0952
삼성디스플레이,3,40.9933,0.0924,0.2041,40.9933
삼성디스플레이,5,29.0967,0.0437,0.1449,29.0967
삼성전자,1,166.3553,0.1055,0.5668,166.3553
삼성전자,7,129.7424,0.1141,0.4421,129.7424
삼성전자,2,116.3869,0.0986,0.3966,116.3869
삼성전자,6,108.4562,0.1177,0.3696,108.4562
삼성전자,4,102.3913,0.0992,0.3489,102.3913
삼성전자,5,59.6128,0.0895,0.2031,59.6128
삼성전자,3,47.7013,0.1076,0.1625,47.7013
샤오미,2,68.1289,0.0577,0.6415,68.1289
샤오미,1,56.1449,0.0356,0.5287,56.1449
샤오미,7,38.5721,0.0339,0.3632,38.5721
샤오미,4,32.9616,0.0319,0.3104,32.9616
샤오미,6,21.5476,0.0234,0.2029,21.5476
샤오미,5,16.3226,0.0245,0.1537,16.3226
샤오미,3,13.4160,0.0303,0.1263,13.4160
샤오펑,7,6.3118,0.0055,0.7035,6.3118
샤오펑,1,4.8520,0.0031,0.5408,4.8520
샤오펑,2,2.8387,0.0024,0.3164,2.8387
샤오펑,4,2.1039,0.0020,0.2345,2.1039
샤오펑,6,1.4365,0.0016,0.1601,1.4365
샤오펑,5,1.4194,0.0021,0.1582,1.4194
샤오펑,3,0.7453,0.0017,0.0831,0.7453
샤프,1,14.5561,0.0092,0.6924,14.5561
샤프,2,9.9355,0.0084,0.4726,9.9355
샤프,4,7.0131,0.0068,0.3336,7.0131
샤프,7,7.0131,0.0062,0.3336,7.0131
샤프,6,4.3095,0.0047,0.2050,4.3095
샤프,3,3.7267,0.0084,0.1773,3.7267
샤프,5,0.7097,0.0011,0.0338,0.7097
선익시스템,1,9.7041,0.0062,0.6672,9.7041
선익시스템,7,7.0131,0.0062,0.4822,7.0131
선익시스템,6,5.0278,0.0055,0.3457,5.0278
선익시스템,4,4.2079,0.0041,0.2893,4.2079
선익시스템,2,3.5484,0.0030,0.2440,3.5484
선익시스템,5,3.5484,0.0053,0.2440,3.5484
소니,1,13.8629,0.0088,0.6334,13.8629
소니,7,9.1170,0.0080,0.4165,9.1170
소니,6,7.9008,0.0086,0.3610,7.9008
소니,2,7.8064,0.0066,0.3567,7.8064
소니,4,6.3118,0.0061,0.2884,6.3118
소니,5,4.9677,0.0075,0.2270,4.9677
소니,3,3.7267,0.0084,0.1703,3.7267
소니,0,1.4110,0.0323,0.0645,1.4110
아마존,1,5.5452,0.0035,0.5274,5.5452
아마존,3,4.4720,0.0101,0.4253,4.4720
아마존,6,4.3095,0.0047,0.4098,4.3095
아마존,7,4.2079,0.0037,0.4002,4.2079
아마존,2,3.5484,0.0030,0.3375,3.5484
아마존,5,2.1290,0.0032,0.2025,2.1290
아마존,4,2.1039,0.0020,0.2001,2.1039
아마존,0,1.4110,0.0323,0.1342,1.4110
아이씨디,1,5.5452,0.0035,0.6370,5.5452
아이씨디,7,4.2079,0.0037,0.4834,4.2079
아이씨디,6,3.5913,0.0039,0.4126,3.5913
아이씨디,4,2.8052,0.0027,0.3223,2.8052
아이씨디,2,2.1290,0.0018,0.2446,2.1290
아이씨디,5,1.4194,0.0021,0.1631,1.4194
알파벳,1,10.3972,0.0066,0.5557,10.3972
알파벳,2,8.5161,0.0072,0.4552,8.5161
알파벳,6,7.9008,0.0086,0.4223,7.9008
알파벳,7,7.0131,0.0062,0.3748,7.0131
알파벳,5,4.2581,0.0064,0.2276,4.2581
알파벳,0,4.2330,0.0968,0.2262,4.2330
알파벳,3,3.7267,0.0084,0.1992,3.7267
알파벳,4,2.8052,0.0027,0.1499,2.8052
애플,2,153.2901,0.1299,0.5546,153.2901
애플,1,138.6294,0.0879,0.5016,138.6294
애플,4,108.0018,0.1046,0.3907,108.0018
애플,7,97.4822,0.0857,0.3527,97.4822
애플,6,76.8531,0.0834,0.2781,76.8531
애플,5,72.3870,0.1086,0.2619,72.3870
애플,3,36.5213,0.0824,0.1321,36.5213
애플,0,5.6439,0.1290,0.0204,5.6439
엔비디아,1,20.7944,0.0132,0.5539,20.7944
엔비디아,7,18.2341,0.0160,0.4857,18.2341
엔비디아,6,14.3651,0.0156,0.3826,14.3651
엔비디아,5,13.4839,0.0202,0.3592,13.4839
엔비디아,4,10.5197,0.0102,0.2802,10.5197
엔비디아,2,9.9355,0.0084,0.2646,9.9355
엔비디아,3,6.7080,0.0151,0.1787,6.7080
엔비디아,0,1.4110,0.0323,0.0376,1.4110
오포,2,36.1935,0.0307,0.8472,36.1935
오포,1,15.9424,0.0101,0.3732,15.9424
오포,4,11.2210,0.0109,0.2627,11.2210
오포,7,9.8183,0.0086,0.2298,9.8183
오포,3,4.4720,0.0101,0.1047,4.4720
오포,6,4.3095,0.0047,0.1009,4.3095
원익IPS,1,14.5561,0.0092,0.7478,14.5561
원익IPS,7,8.4157,0.0074,0.4323,8.4157
원익IPS,4,5.6105,0.0054,0.2882,5.6105
원익IPS,5,4.9677,0.0075,0.2552,4.9677
원익IPS,6,4.3095,0.0047,0.2214,4.3095
원익IPS,2,3.5484,0.0030,0.1823,3.5484
원익IPS,3,2.9813,0.0067,0.1532,2.9813
인텔,1,16.6355,0.0105,0.6813,16.6355
인텔,5,9.2258,0.0138,0.3779,9.2258
인텔,7,9.1170,0.0080,0.3734,9.1170
인텔,4,8.4157,0.0082,0.3447,8.4157
인텔,6,6.4643,0.0070,0.2648,6.4643
인텔,2,4.9677,0.0042,0.2035,4.9677
인텔,3,3.7267,0.0084,0.1526,3.7267
카카오,1,7.6246,0.0048,0.6325,7.6246
카카오,2,5.6774,0.0048,0.4710,5.6774
카카오,7,4.9092,0.0043,0.4073,4.9092
카카오,4,3.5066,0.0034,0.2909,3.5066
카카오,6,2.8730,0.0031,0.2383,2.8730
카카오,5,2.8387,0.0043,0.2355,2.8387
카카오,3,1.4907,0.0034,0.1237,1.4907
퀄컴,6,15.8016,0.0171,0.6107,15.8016
퀄컴,1,12.4766,0.0079,0.4822,12.4766
퀄컴,4,10.5197,0.0102,0.4066,10.5197
퀄컴,7,7.7144,0.0068,0.2982,7.7144
퀄컴,3,6.7080,0.0151,0.2593,6.7080
퀄컴,5,6.3871,0.0096,0.2469,6.3871
퀄컴,2,2.8387,0.0024,0.1097,2.8387
하이센스,1,33.9642,0.0215,0.5714,33.9642
하이센스,7,28.7537,0.0253,0.4837,28.7537
하이센스,2,23.4193,0.0198,0.3940,23.4193
하이센스,6,22.9841,0.0249,0.3867,22.9841
하이센스,4,17.5328,0.0170,0.2950,17.5328
하이센스,5,10.6451,0.0160,0.1791,10.6451
하이센스,3,7.4533,0.0168,0.1254,7.4533
한미반도체,1,11.7835,0.0075,0.7306,11.7835
한미반도체,5,6.3871,0.0096,0.3960,6.3871
한미반도체,7,5.6105,0.0049,0.3478,5.6105
한미반도체,4,4.2079,0.0041,0.2609,4.2079
한미반도체,3,3.7267,0.0084,0.2311,3.7267
한미반도체,6,3.5913,0.0039,0.2227,3.5913
한미반도체,2,2.1290,0.0018,0.1320,2.1290
한화,1,4.1589,0.0026,0.7753,4.1589
한화,2,2.1290,0.0018,0.3969,2.1290
한화,7,2.1039,0.0018,0.3922,2.1039
한화,4,1.4026,0.0014,0.2615,1.4026
한화,3,0.7453,0.0017,0.1389,0.7453
현대모비스,6,8.6190,0.0094,0.6572,8.6190
현대모비스,1,5.5452,0.0035,0.4228,5.5452
현대모비스,4,4.9092,0.0048,0.3743,4.9092
현대모비스,5,4.2581,0.0064,0.3247,4.2581
현대모비스,7,4.2079,0.0037,0.3209,4.2079
현대모비스,3,2.2360,0.0050,0.1705,2.2360
현대모비스,2,1.4194,0.0012,0.1082,1.4194
현대자동차,1,11.7835,0.0075,0.5766,11.7835
현대자동차,6,9.3373,0.0101,0.4569,9.3373
현대자동차,7,9.1170,0.0080,0.4461,9.1170
현대자동차,4,7.0131,0.0068,0.3432,7.0131
현대자동차,2,4.9677,0.0042,0.2431,4.9677
현대자동차,3,4.4720,0.0101,0.2188,4.4720
현대자동차,5,3.5484,0.0053,0.1736,3.5484
현대자동차,0,1.4110,0.0323,0.0690,1.4110
현대차,6,20.1111,0.0218,0.5464,20.1111
현대차,1,18.7150,0.0119,0.5084,18.7150
현대차,7,16.1301,0.0142,0.4382,16.1301
현대차,4,12.6236,0.0122,0.3430,12.6236
현대차,2,8.5161,0.0072,0.2314,8.5161
현대차,5,8.5161,0.0128,0.2314,8.5161
현대차,3,5.9627,0.0134,0.1620,5.9627
화웨이,2,10.6451,0.0090,0.6122,10.6451
화웨이,1,9.7041,0.0062,0.5581,9.7041
화웨이,4,4.9092,0.0048,0.2823,4.9092
화웨이,7,4.9092,0.0043,0.2823,4.9092
화웨이,3,4.4720,0.0101,0.2572,4.4720
화웨이,6,4.3095,0.0047,0.2479,4.3095
화웨이,5,2.8387,0.0043,0.1633,2.8387
