org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8
추가,0,1,2,1,2,6,0,3,0
추석맞,0,0,0,0,0,1,0,0,0
축하,0,1,1,1,1,2,0,0,0
출력,1,2,1,0,1,2,2,1,1
출석퀴즈,0,0,0,1,0,3,0,2,0
충남어머니안전지도자회,0,0,0,0,0,2,0,2,0
충전,3,1,2,0,2,0,2,3,2
취업,0,0,3,0,1,1,0,0,0
치어리더,0,0,1,1,0,3,0,0,0
침해,0,5,4,0,4,1,0,1,0
카메라,1,1,0,0,0,0,1,1,1
캐릭터,0,0,0,0,1,2,1,1,0
캐릭터로,0,0,0,0,1,2,1,1,0
캔슬링,0,0,1,0,0,2,0,1,0
캠페인,0,0,1,0,0,0,0,2,0
커뮤니케이션,2,2,1,0,2,1,1,0,3
커뮤니티,0,0,1,0,0,0,0,1,0
컴퓨터,0,0,1,1,0,0,1,2,0
케어,0,0,0,0,0,0,0,3,0
코닥,1,1,0,0,0,0,1,1,1
코웨,4,2,4,0,2,0,2,0,10
코웨이,6,3,6,0,3,0,3,0,15
콘덴싱,14,6,6,0,3,0,3,3,9
콘셉트,9,9,3,0,6,3,5,0,6
콘텐츠,1,0,1,0,0,1,1,0,1
퀴즈,0,0,1,2,0,5,0,4,0
퀴즈팡팡,0,0,0,1,0,3,0,2,0
크게,2,3,2,0,4,0,2,2,1
크기,1,1,0,0,0,0,1,1,1
크롬북,1,2,1,0,1,2,2,1,1
클라우드,0,0,2,0,0,1,4,2,0
키보드,0,0,1,1,0,0,1,2,0
키보토스,0,0,0,0,1,2,1,1,0
텐아시아,0,0,0,4,0,1,0,0,0
토트백,2,0,1,0,0,1,1,2,1
톡신,1,0,1,0,0,1,1,0,1
통해,12,10,19,1,12,9,10,7,7
투자,0,3,2,0,3,1,1,0,0
특별한,0,0,2,0,1,0,0,0,0
특허,0,5,4,0,4,1,0,1,0
특히,0,1,0,1,1,1,0,1,0
파운드리,0,0,2,0,0,1,0,1,0
파티,0,1,1,1,1,2,0,0,0
팔레드,0,0,2,0,1,0,0,0,0
패널,5,35,28,0,33,5,2,4,4
패키징,0,2,4,0,3,1,4,0,0
퍼퓸,0,0,2,0,1,0,0,0,0
편의성,5,2,2,0,1,0,1,1,4
편집,1,0,1,0,0,1,1,0,1
평가,0,1,0,0,1,0,0,0,0
평균,0,0,4,1,1,1,1,2,0
폐쇄적,0,5,2,0,4,3,0,1,0
포럼,0,0,0,0,0,0,0,1,0
포맷,1,3,1,0,1,4,2,1,1
포인트,0,0,1,2,0,5,0,4,0
프로,10,5,10,0,5,0,5,0,25
프로그램,0,1,2,0,2,3,0,1,0
프로맥스,0,1,2,0,2,3,0,1,0
프리미엄,0,4,1,0,4,0,0,1,0
피해,0,3,4,0,4,3,2,1,0
하고,1,1,2,10,1,6,1,3,1
하늘,0,0,0,0,0,2,0,1,0
하루,0,0,2,2,0,2,1,4,0
하이드로,14,6,6,0,3,0,3,3,9
하지만,2,0,1,0,0,1,1,2,1
학부모협의회,0,0,0,0,0,2,0,2,0
학생,0,0,1,1,0,2,0,1,0
한강,0,0,0,1,0,5,0,2,0
한국,2,0,2,0,2,0,1,2,1
한다.,0,0,2,1,0,1,1,1,0
한양대병원,0,0,2,0,1,0,0,0,0
한층,0,0,0,0,0,2,0,1,0
함께,0,0,0,0,0,2,0,3,0
해리스,0,1,0,0,1,0,0,0,0
해설,0,0,0,3,0,2,0,1,0
해외,1,0,3,0,2,0,0,1,0
해외로,1,0,3,0,2,0,0,1,0
핵심,0,3,5,0,5,0,0,0,0
행사,0,0,1,0,0,0,0,2,0
행운,0,0,2,1,0,1,1,1,0
향수,0,0,2,0,1,0,0,0,0
향후,0,5,2,0,4,0,0,0,0
허경환,0,1,0,0,1,1,0,0,0
혁신,2,7,3,0,6,4,1,1,3
현장,0,0,1,4,0,5,0,1,0
현재,1,0,3,0,1,0,1,0,1
협상,0,4,3,0,4,0,0,1,0
혜택,0,0,0,1,0,3,0,2,0
홍보부장,0,0,2,0,1,0,0,0,0
화면,0,3,4,0,2,1,0,0,0
활동,1,0,3,0,1,0,1,0,1
회장,0,11,7,0,10,2,0,0,0
효과,2,3,2,0,4,0,2,2,1
후성,1,2,4,0,2,1,4,1,0
후지필름,0,1,0,0,0,2,0,0,0
흑자,2,3,2,0,4,0,2,2,1
희망퇴직,0,3,4,0,4,3,2,1,0
히트펌프,14,6,6,0,3,0,3,3,9
