org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
Pin,2,4,1,14,3,0,2,5,0,10,4,0
RGB,8,2,2,1,4,0,4,6,2,10,2,2
RGB든,4,0,0,0,1,0,1,1,0,2,0,1
RPG,2,2,5,2,1,1,1,2,2,0,2,3
SGI,0,1,0,2,0,1,0,2,0,0,0,0
SGI서울보증,0,1,0,2,0,1,0,2,0,0,0,0
Shot,2,4,1,14,3,0,2,5,0,10,4,0
SUV,3,2,1,3,1,1,3,2,2,2,1,1
TFT,3,2,2,1,4,2,2,1,2,2,0,1
TGS,6,3,6,3,3,1,3,3,4,3,4,8
that,0,0,1,0,0,0,0,0,1,1,1,0
the,0,0,1,0,0,0,0,0,1,1,1,0
to,0,0,1,0,0,0,0,0,1,1,1,0
Visionox,3,3,2,1,5,2,4,2,2,3,0,1
VR,3,0,2,4,1,0,2,2,2,0,1,0
WEC,0,0,0,0,0,1,0,2,1,0,0,0
with,0,0,1,0,0,0,0,0,1,1,1,0
WSJ,1,0,0,1,0,1,3,3,0,0,1,0
XR,9,4,12,8,3,2,8,6,7,4,6,3
Z세대,0,0,1,3,0,1,0,1,0,0,1,1
가능성,11,5,3,5,6,3,8,8,5,11,3,3
가민,4,4,4,4,0,0,6,4,3,4,5,0
가방,0,0,0,0,1,0,0,2,1,0,0,0
가성비,0,0,0,0,1,0,0,2,1,0,0,0
가을,0,0,0,0,1,0,0,2,1,0,0,0
가장,8,4,2,2,3,3,7,6,8,5,4,3
각각,4,5,1,4,3,2,4,6,3,3,5,1
각각각,3,5,3,1,3,4,4,3,2,0,3,0
감독,2,0,3,2,0,0,2,1,1,0,2,0
강력한,3,1,0,1,1,0,2,1,3,2,1,1
강조했다.,4,2,1,1,2,1,3,4,1,5,1,1
강화에,4,3,1,1,3,1,2,1,2,3,0,1
같은,10,3,8,8,5,5,10,8,7,6,9,3
개막전,0,0,0,3,0,0,0,2,1,0,1,0
개발,17,20,13,13,12,13,16,12,12,10,13,10
개의,2,2,5,2,1,1,1,2,2,0,2,3
객실,0,0,0,2,0,0,0,1,0,0,0,0
갤럭시Z,3,1,0,1,1,0,2,1,3,2,1,1
